"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"1968","UTIBANK","20-Jun-07",613.45,618,628.5,617.05,620.5,622.22,574805,567.3433333,530.367,514.7735,474.17875
"1969","UTIBANK","21-Jun-07",620.5,620,628,609,618.2,619.02,329813,570.4983333,532.945,515.864,475.5335
"1970","UTIBANK","22-Jun-07",618.2,618,623.5,610.5,614.3,615.89,501026,573.6266667,535.875,516.9165,476.8985
"1971","UTIBANK","25-Jun-07",614.3,613.5,619.95,607,616.2,614.54,552366,576.6516667,538.934,517.935,478.229
"1972","UTIBANK","26-Jun-07",616.2,622,622,593.4,600,602.89,880978,578.8433333,541.556,518.895,479.4685
"1973","UTIBANK","27-Jun-07",600,614.7,614.7,588,590.25,595.73,335438,580.4533333,543.983,519.4515,480.65925
"1974","UTIBANK","28-Jun-07",590.25,590,598,575,579.3,581.65,947985,581.6333333,546.267,519.823,481.8215
"1975","UTIBANK","29-Jun-07",579.3,594.9,608,583,605.5,596.96,641317,583.925,548.951,520.0005,483.13325
"1976","UTIBANK","2-Jul-07",605.5,624.7,624.7,601.1,607.4,606.62,414388,585.6466667,551.807,520.4265,484.474
"1977","UTIBANK","3-Jul-07",607.4,613,628,609.5,623.45,620.37,705855,587.545,554.951,521.1845,485.917
"1978","UTIBANK","4-Jul-07",623.45,626.8,626.8,613.5,618.6,617.4,277717,588.7883333,558.064,521.842,487.34525
"1979","UTIBANK","5-Jul-07",618.6,619,635.85,619,630,628.57,839667,590.725,561.3,522.501,488.801
"1980","UTIBANK","6-Jul-07",630,630,633,624.45,628.75,628.42,396779,592.8683333,564.521,523.0555,490.19875
"1981","UTIBANK","9-Jul-07",628.75,632,641,628,634.5,634.96,315670,595.5083333,567.895,523.862,491.63175
"1982","UTIBANK","10-Jul-07",634.5,638,638,628.2,630.7,631.5,219141,597.8016667,571.409,524.989,493.0275
"1983","UTIBANK","11-Jul-07",630.7,630,635.45,620,631.95,630.43,357577,600.2066667,574.684,526.101,494.45375
"1984","UTIBANK","12-Jul-07",631.95,640,650,632.2,642.55,644.01,381726,602.46,578.07,527.061,495.93175
"1985","UTIBANK","13-Jul-07",642.55,650.1,659.8,633,644.8,648.06,1084963,604.72,581.364,528.0335,497.37975
"1986","UTIBANK","16-Jul-07",644.8,645,652.85,638,645.75,642.51,855053,607.05,584.147,529.174,498.84425
"1987","UTIBANK","17-Jul-07",645.75,649,657.5,645.5,649.7,651.17,409978,609.4166667,587.007,530.3065,500.33025
"1988","UTIBANK","18-Jul-07",649.7,648,660,646.55,656.2,653.43,381656,612.105,589.768,531.6725,501.86075
"1989","UTIBANK","19-Jul-07",656.2,660,662,648,650.1,651.85,315724,614.7783333,592.299,533.264,503.2605
"1990","UTIBANK","20-Jul-07",650.1,630.1,659,630.1,644.6,649.01,345878,617.6333333,594.782,534.7555,504.5105
"1991","UTIBANK","23-Jul-07",644.6,644,649,621.35,624.4,631.29,645524,619.585,596.761,536.123,505.7365
"1992","UTIBANK","24-Jul-07",624.4,638,638,608.15,614.95,612.99,1041980,620.5383333,598.375,537.6655,506.909
"1993","UTIBANK","25-Jul-07",614.95,605.1,622.4,600.15,618.55,617.97,298074,621.655,599.907,539.0035,508.08275
"1994","UTIBANK","26-Jul-07",618.55,619,623.3,605.05,615.3,614.84,866763,622.6366667,601.335,540.4545,509.21525
"1995","UTIBANK","27-Jul-07",615.3,610,623,596.05,614.35,606.93,815588,623.1233333,602.887,542.132,510.31475
"1996","UTIBANK","30-Jul-07",614.35,602,678.8,598.15,639.15,625.68,954991,624.115,604.555,544.2125,511.5675
"1997","UTIBANK","31-Jul-07",639.15,639.15,660,615,625.9,634.13,879934,624.53,605.743,546.318,512.75175
"1998","UTIBANK","1-Aug-07",625.9,623.7,630,605,618,619.78,677329,624.4466667,606.477,548.137,513.90575
"1999","UTIBANK","2-Aug-07",618,619,625,607.3,620.35,619.94,1070252,624.5183333,607.446,549.7765,515.021
"2000","UTIBANK","3-Aug-07",620.35,624,631,618,621.15,624.31,410495,624.7466667,608.58,551.3975,516.07675
