,Symbol,Series,Date,Prev.Close,Open.Price,High.Price,Low.Price,Last.Price,Close.Price,Average.Price,Total.Traded.Quantity,Turnover,No..of.Trades,Deliverable.Qty,X..Dly.Qt.to.Traded.Qty,,,MA30,MA50,MA100,MA200
64,UTIBANK,EQ,5-Apr-99,14,13.75,13.8,13.4,13.55,13.55,13.62,9800,133500,-,-,-,,,14.72833333,15.042,,
65,UTIBANK,EQ,6-Apr-99,13.55,13.5,13.5,13,13.25,13.25,13.29,16800,223295,-,-,-,,,14.67666667,14.976,,
66,UTIBANK,EQ,7-Apr-99,13.25,13.1,13.65,13.1,13.25,13.25,13.46,4100,55180,-,-,-,,,14.645,14.91,,
67,UTIBANK,EQ,8-Apr-99,13.25,13.15,13.7,13.15,13.3,13.3,13.38,4800,64230,-,-,-,,,14.595,14.851,,
68,UTIBANK,EQ,9-Apr-99,13.3,13,13.5,13,13.4,13.4,13.14,5000,65715,-,-,-,,,14.55,14.803,,
69,UTIBANK,EQ,12-Apr-99,13.4,12.8,13.45,12.8,13.1,13.1,13.08,6300,82410,-,-,-,,,14.51,14.746,,
70,UTIBANK,EQ,13-Apr-99,13.1,13,13.15,12.85,12.95,12.95,12.99,13900,180575,-,-,-,,,14.45,14.695,,
71,UTIBANK,EQ,15-Apr-99,12.95,13,13,12.75,13,13,12.83,10000,128325,-,-,-,,,14.40833333,14.644,,
72,UTIBANK,EQ,16-Apr-99,13,13.4,14,13,13.95,13.95,13.73,17400,238840,-,-,-,,,14.28333333,14.608,,
73,UTIBANK,EQ,17-Apr-99,13.95,14.4,14.4,12.85,13.05,13.05,13.3,17600,234095,-,-,-,,,14.15333333,14.558,,
74,UTIBANK,EQ,19-Apr-99,13.05,13.05,13.35,13.05,13.2,13.2,13.19,4000,52755,-,-,-,,,14.02333333,14.512,,
75,UTIBANK,EQ,20-Apr-99,13.2,13.3,13.35,13,13,13,13.09,8500,111270,-,-,-,,,13.91833333,14.465,,
76,UTIBANK,EQ,21-Apr-99,13,13.4,13.4,13.1,13.4,13.4,13.32,3100,41280,-,-,-,,,13.83833333,14.431,,
77,UTIBANK,EQ,22-Apr-99,13.4,13.1,13.25,13.1,13.25,13.25,13.17,3500,46085,-,-,-,,,13.75333333,14.391,,
78,UTIBANK,EQ,23-Apr-99,13.25,13.75,13.8,13.1,13.4,13.4,13.34,3900,52045,-,-,-,,,13.68833333,14.353,,
79,UTIBANK,EQ,26-Apr-99,13.4,12,13.35,12,12,12,12.22,13500,164955,-,-,-,,,13.58666667,14.288,,
80,UTIBANK,EQ,28-Apr-99,12,12.5,12.6,12.2,12.5,12.5,12.44,8400,104505,-,-,-,,,13.51166667,14.234,,
81,UTIBANK,EQ,29-Apr-99,12.5,12.6,12.8,12.5,12.7,12.7,12.65,3100,39210,-,-,-,,,13.475,14.192,,
82,UTIBANK,EQ,30-Apr-99,12.7,12.5,13.2,12.1,13.2,13.2,12.73,6400,81445,-,-,-,,,13.44,14.155,,
83,UTIBANK,EQ,3-May-99,13.2,13.25,13.25,13,13,13,13.02,5300,69030,-,-,-,,,13.39,14.115,,
84,UTIBANK,EQ,4-May-99,13,12.9,13.2,12.85,13.2,13.2,13.04,4800,62605,-,-,-,,,13.35333333,14.079,,
85,UTIBANK,EQ,5-May-99,13.2,13.05,13.45,13,13.25,13.25,13.25,6700,88785,-,-,-,,,13.32,14.048,,
86,UTIBANK,EQ,6-May-99,13.25,13.4,13.85,13.25,13.65,13.65,13.54,5500,74495,-,-,-,,,13.315,14.037,,
87,UTIBANK,EQ,7-May-99,13.65,14,14,13.15,13.75,13.75,13.68,10100,138140,-,-,-,,,13.32166667,14.016,,
88,UTIBANK,EQ,10-May-99,13.75,13.6,13.7,13,13.7,13.7,13.35,3800,50740,-,-,-,,,13.31333333,13.995,,
89,UTIBANK,EQ,11-May-99,13.7,13.9,14,13.5,13.75,13.75,13.72,13800,189365,-,-,-,,,13.30166667,13.984,,
90,UTIBANK,EQ,12-May-99,13.75,13.7,13.85,13.25,13.25,13.25,13.63,11300,154060,-,-,-,,,13.28,13.954,,
91,UTIBANK,EQ,13-May-99,13.25,13,13.7,13,13.5,13.5,13.43,3300,44305,-,-,-,,,13.285,13.939,,
92,UTIBANK,EQ,14-May-99,13.5,13.5,14.25,13.4,14.1,14.1,13.94,15500,216125,-,-,-,,,13.28666667,13.867,,
93,UTIBANK,EQ,17-May-99,14.1,14.2,14.5,13.5,14,14,13.94,23900,333215,-,-,-,,,13.28666667,13.808,,
94,UTIBANK,EQ,18-May-99,14,14.7,14.7,13.65,13.9,13.9,14.09,12200,171870,-,-,-,,,13.29833333,13.744,,
95,UTIBANK,EQ,19-May-99,13.9,14.25,15.65,14,15.65,15.65,14.83,60600,898475,-,-,-,,,13.37833333,13.734,,
96,UTIBANK,EQ,20-May-99,15.65,15.7,16,15,15.1,15.1,15.54,38400,596855,-,-,-,,,13.44,13.72,,
97,UTIBANK,EQ,21-May-99,15.1,15.4,15.7,14.6,14.6,14.6,15.05,14600,219725,-,-,-,,,13.48333333,13.696,,
98,UTIBANK,EQ,24-May-99,14.6,14.5,14.55,14.25,14.35,14.35,14.37,8800,126460,-,-,-,,,13.515,13.676,,
99,UTIBANK,EQ,25-May-99,14.35,14.2,14.25,14,14.25,14.25,14.06,27600,388150,-,-,-,,,13.55333333,13.66,,
100,UTIBANK,EQ,26-May-99,14.25,14.1,14.5,14.1,14.45,14.45,14.31,4400,62980,-,-,-,,,13.60333333,13.654,14.75,
101,UTIBANK,EQ,27-May-99,14.45,14,14.25,14,14,14,14.08,8800,123885,-,-,-,,,13.63666667,13.658,14.721,
102,UTIBANK,EQ,28-May-99,14,13.55,14,13.1,13.1,13.1,13.67,13800,188675,-,-,-,,,13.60833333,13.635,14.6835,
103,UTIBANK,EQ,31-May-99,13.1,13.75,14.25,13.7,14,14,14.03,18200,255260,-,-,-,,,13.64,13.625,14.6635,
104,UTIBANK,EQ,1-Jun-99,14,14.85,15.5,14.25,14.5,14.5,14.69,65600,963820,-,-,-,,,13.68333333,13.629,14.649,
105,UTIBANK,EQ,2-Jun-99,14.5,15,15.4,14.65,15,15,14.91,32200,480075,-,-,-,,,13.75,13.644,14.6205,
106,UTIBANK,EQ,3-Jun-99,15,15,15.1,14.5,14.75,14.75,14.77,24500,361955,-,-,-,,,13.795,13.663,14.588,
107,UTIBANK,EQ,4-Jun-99,14.75,14.5,15,14.5,14.75,14.75,14.76,35300,521090,-,-,-,,,13.845,13.687,14.5625,
108,UTIBANK,EQ,7-Jun-99,14.75,14.6,15.9,14.55,15.9,15.9,14.79,28500,421405,-,-,-,,,13.92833333,13.726,14.55,
109,UTIBANK,EQ,8-Jun-99,15.9,15.45,15.9,14.05,14.55,14.55,14.51,49000,710830,-,-,-,,,14.01333333,13.735,14.526,
110,UTIBANK,EQ,9-Jun-99,14.55,16,16.7,15.25,15.5,15.25,15.54,42000,652690,-,-,-,,,14.105,13.762,14.5085,
111,UTIBANK,EQ,10-Jun-99,15.25,15.25,15.7,15.25,15.25,15.35,15.44,19000,293430,-,-,-,,,14.19333333,13.802,14.498,
112,UTIBANK,EQ,11-Jun-99,15.35,15.6,15.6,15.15,15.25,15.25,15.27,18900,288620,-,-,-,,,14.26166667,13.826,14.4845,
113,UTIBANK,EQ,14-Jun-99,15.25,15,15,14.5,14.75,14.65,14.67,28200,413800,-,-,-,,,14.31666667,13.839,14.4685,
114,UTIBANK,EQ,15-Jun-99,14.65,14.15,14.95,14,14.95,14.7,14.53,15700,228185,-,-,-,,,14.36666667,13.862,14.452,
115,UTIBANK,EQ,16-Jun-99,14.7,14.85,15.15,14.55,15,14.9,14.85,14000,207925,-,-,-,,,14.42166667,13.895,14.4355,
116,UTIBANK,EQ,17-Jun-99,14.9,15,15.2,14.8,14.95,14.85,15,6500,97500,-,-,-,,,14.46166667,13.927,14.4185,
117,UTIBANK,EQ,18-Jun-99,14.85,15,15,14.55,14.8,14.8,14.72,6300,92715,-,-,-,,,14.49666667,13.957,14.404,
118,UTIBANK,EQ,21-Jun-99,14.8,15,15,14.65,15,14.95,14.82,8600,127430,-,-,-,,,14.53833333,13.988,14.3955,
