Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,3-Feb-00,33.9,39.85,39.85,39.85,39.85,39.85,2000,27.33166667,26.23,21.8445,19.34475
UTIBANK,3-Feb-00,36.9,39.85,39.85,39.85,39.85,39.85,160400,27.77,26.566,22.043,19.474
UTIBANK,4-Feb-00,39.85,43.05,43.05,43.05,43.05,43.05,60700,28.315,26.968,22.2975,19.62375
UTIBANK,7-Feb-00,39.85,41,41,41,41,41,100,28.78666667,27.35,22.535,19.75875
UTIBANK,7-Feb-00,43.05,46.5,46.5,39.65,39.65,40.95,790600,29.23166667,27.693,22.7605,19.8845
UTIBANK,8-Feb-00,41,40,40,40,40,40,200,29.7,28.023,22.992,20.0095
UTIBANK,8-Feb-00,39.65,38,40.75,37,37.95,37.91,434100,30.13833333,28.35,23.1915,20.1255
UTIBANK,9-Feb-00,40,39,39,37.75,38.75,38.7,500,30.555,28.674,23.399,20.2455
UTIBANK,9-Feb-00,37.95,39.5,40,35.05,36.05,36.78,284200,30.92333333,28.908,23.5855,20.34625
UTIBANK,10-Feb-00,36.05,37.5,38.95,36.5,38.95,38.34,214000,31.44833333,29.161,23.794,20.46825
UTIBANK,11-Feb-00,38.95,42.1,42.1,42.1,42.1,42.1,129700,32.05166667,29.435,24.035,20.6025
UTIBANK,14-Feb-00,42.1,44.95,45.25,38.75,38.75,40.38,236000,32.55666667,29.67,24.241,20.7195
UTIBANK,15-Feb-00,38.75,37.25,37.25,35.65,35.65,36.16,285600,32.97,29.838,24.417,20.8215
UTIBANK,16-Feb-00,35.65,37,38.5,36,38.1,38.1,205200,33.40166667,30.04,24.6225,20.93875
UTIBANK,17-Feb-00,38.1,39.5,40,37.3,38.5,38.27,145600,33.855,30.276,24.831,21.05775
UTIBANK,18-Feb-00,38.75,38.7,38.7,38.7,38.7,38.7,200,34.29166667,30.538,25.023,21.17675
UTIBANK,18-Feb-00,38.5,37.55,37.75,35.5,36.6,36.39,101900,34.655,30.783,25.209,21.2855
UTIBANK,21-Feb-00,38.7,36,37,36,37,36.5,800,35.07333333,31.069,25.3995,21.3965
UTIBANK,21-Feb-00,36.6,38.25,38.25,34.7,35.4,35.62,119100,35.41666667,31.298,25.576,21.49875
UTIBANK,22-Feb-00,37,37,37,37,37,37,100,35.82333333,31.554,25.764,21.6095
UTIBANK,22-Feb-00,35.4,37.2,38,33.3,33.75,34.78,185300,36.105,31.735,25.9215,21.69725
UTIBANK,23-Feb-00,33.75,35,36.4,34,34.55,35.03,100300,36.42166667,31.892,26.0895,21.7925
UTIBANK,24-Feb-00,37,37.25,37.25,37,37.25,37.17,700,36.76333333,32.103,26.2835,21.89975
UTIBANK,24-Feb-00,34.55,37.35,37.35,33,37.35,36.13,247000,37.10666667,32.313,26.482,22.007
UTIBANK,25-Feb-00,37.25,39,39,39,39,39,500,37.43166667,32.567,26.697,22.122
UTIBANK,25-Feb-00,37.35,39.75,40.1,35.8,39.45,38.11,208500,37.69333333,32.837,26.929,22.24025
UTIBANK,28-Feb-00,39.45,42.5,42.65,37,38.85,38.77,210000,37.935,33.118,27.1555,22.35675
UTIBANK,29-Feb-00,39,41,41,40.5,40.5,40.55,1100,38.155,33.403,27.398,22.4705
